,0
transformation,6466
treated,12267
treatment,23503
tsc2,8077
tumor,53042
tumors,41485
tumour,7333
two,40052
type,55359
types,8894
tyrosine,15473
tyrosine kinase,7870
use,7139
used,29565
using,48979
values,7964
variant,18289
variants,50116
various,6506
vector,10845
vitro,16081
vivo,10764
vus,10522
well,22391
western,8362
whereas,14572
whether,13068
wild,43702
wild type,43170
within,17385
without,9400
would,9642
wt,22494
yeast,7128
μg,6041
